trial_id,crowd_density_humans,fixed_fleet_size,success_rate_pct,makespan_s,mean_replan_latency_ms,discomfort_integral,v2v_mesh_packets
84,2,4,100.0,36.3,0.03,9.28,16
84,6,4,100.0,54.6,0.079,7.28,24
84,12,4,100.0,44.05,0.106,3.15,15
84,18,4,100.0,38.9,0.166,17.71,15
84,24,4,100.0,46.45,0.325,13.73,18
84,30,4,0.0,65.05,0.356,313.03,30
85,2,4,100.0,35.3,0.044,0.02,14
85,6,4,0.0,65.05,0.092,5.03,18
85,12,4,100.0,61.0,0.053,9.64,18
85,18,4,100.0,45.75,0.108,1.47,13
85,24,4,100.0,58.6,0.168,32.29,31
85,30,4,100.0,38.3,0.368,12.41,13
86,2,4,100.0,22.2,0.029,0.0,22
86,6,4,0.0,65.05,0.06,0.06,21
86,12,4,100.0,44.4,0.125,0.01,12
86,18,4,100.0,35.3,0.123,5.04,12
86,24,4,0.0,65.05,0.179,85.78,19
86,30,4,100.0,63.05,0.317,110.93,23
87,2,4,100.0,46.7,0.03,0.0,9
87,6,4,100.0,56.95,0.132,2.24,9
88,2,4,100.0,63.5,0.058,0.26,11
88,6,4,0.0,65.05,0.036,24.27,19
88,12,4,100.0,49.8,0.083,64.98,20
88,18,4,100.0,50.95,0.171,12.5,12
88,24,4,0.0,65.05,0.184,115.0,30
88,30,4,100.0,42.75,0.389,20.64,9
89,2,4,100.0,32.0,0.033,0.04,32
89,6,4,100.0,51.45,0.149,8.62,18
89,12,4,100.0,39.45,0.109,16.8,12
89,18,4,0.0,65.05,0.207,7.26,9
89,24,4,100.0,51.25,0.191,23.48,8
90,2,4,100.0,41.05,0.021,4.29,14
90,6,4,100.0,62.9,0.053,10.95,20
90,12,4,100.0,54.95,0.144,57.41,22
90,18,4,100.0,41.45,0.136,1.76,6
91,2,4,100.0,28.75,0.023,0.0,16
91,6,4,100.0,55.0,0.079,42.39,26
91,12,4,100.0,42.5,0.066,0.4,19
91,18,4,100.0,40.95,0.235,20.95,18
92,2,4,100.0,24.7,0.025,0.0,16
92,6,4,0.0,65.05,0.035,7.06,22
92,12,4,100.0,49.4,0.106,16.41,15
92,18,4,100.0,57.25,0.186,11.66,18
93,2,4,100.0,35.1,0.025,0.65,22
93,6,4,100.0,57.25,0.058,0.58,9
93,12,4,100.0,51.75,0.069,0.42,16
93,18,4,100.0,61.5,0.186,43.89,28
94,2,4,100.0,31.25,0.039,0.05,18
95,2,4,100.0,28.75,0.02,0.01,14
95,6,4,100.0,28.75,0.061,1.43,9
96,2,4,100.0,56.8,0.019,0.18,14
96,6,4,100.0,47.55,0.062,11.87,24
97,2,4,100.0,44.75,0.027,4.18,26
97,6,4,100.0,54.05,0.082,0.12,13
98,2,4,100.0,52.4,0.062,21.36,27
99,2,4,100.0,21.35,0.039,0.0,21
99,6,4,100.0,41.95,0.099,1.52,11
99,12,4,100.0,35.3,0.183,0.01,10
100,2,4,100.0,35.3,0.021,0.0,12
100,6,4,100.0,24.7,0.068,0.0,18
100,12,4,100.0,44.15,0.116,60.41,35
