trial_id,configuration,omitted_component,success,travel_time_s,deadlocks,discomfort_integral,shelf_contact_ticks,shelf_contact_events,min_shelf_clearance_m,inter_cart_crowding
47,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,12.9,316,88,0.506,0
47,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,37.0,0,0.0,238,74,0.0,0
48,Full D2RO Framework,None (Complete Equation),1,59.6,0,0.03,250,9,0.503,0
48,w/o V2V Mesh Telemetry,W_mesh = 0,1,34.3,0,0.02,131,3,0.515,0
48,w/o Corridor Mutex Lock,R_lock = 0,1,34.3,0,0.02,131,3,0.515,0
48,w/o Human Gaussian Proxemics,H_prox = 0,1,155.75,0,13.61,95,39,0.327,0
48,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,44.6,0,0.01,318,96,0.0,0
49,Full D2RO Framework,None (Complete Equation),1,45.9,0,0.0,150,4,0.51,0
49,w/o V2V Mesh Telemetry,W_mesh = 0,1,32.5,0,0.01,149,5,0.51,0
49,w/o Corridor Mutex Lock,R_lock = 0,1,32.5,0,0.01,149,5,0.51,0
49,w/o Human Gaussian Proxemics,H_prox = 0,1,45.15,0,0.94,83,11,0.504,0
49,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,42.8,0,0.0,279,95,0.0,0
50,Full D2RO Framework,None (Complete Equation),1,35.4,0,0.02,60,3,0.517,0
50,w/o V2V Mesh Telemetry,W_mesh = 0,1,33.95,0,0.01,127,3,0.515,0
50,w/o Corridor Mutex Lock,R_lock = 0,1,33.95,0,0.01,127,3,0.515,0
50,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,11.06,204,79,0.504,0
50,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,44.25,0,0.01,310,96,0.0,0
51,Full D2RO Framework,None (Complete Equation),1,43.0,0,0.0,114,1,0.511,0
51,w/o V2V Mesh Telemetry,W_mesh = 0,1,62.1,0,0.5,344,18,0.494,0
51,w/o Corridor Mutex Lock,R_lock = 0,1,46.2,0,0.47,184,13,0.487,0
51,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,15.61,288,95,0.489,0
51,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,40.5,0,0.0,224,82,0.0,0
52,Full D2RO Framework,None (Complete Equation),1,44.35,0,0.0,131,2,0.511,0
52,w/o V2V Mesh Telemetry,W_mesh = 0,1,39.2,0,0.02,199,16,0.512,0
52,w/o Corridor Mutex Lock,R_lock = 0,1,39.2,0,0.02,199,16,0.512,0
52,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,14.27,80,30,0.32,0
52,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,40.5,0,0.0,224,82,0.0,0
53,Full D2RO Framework,None (Complete Equation),1,42.2,0,0.01,155,2,0.511,0
53,w/o V2V Mesh Telemetry,W_mesh = 0,1,45.2,0,0.01,369,5,0.489,0
53,w/o Corridor Mutex Lock,R_lock = 0,1,45.2,0,0.01,369,5,0.489,0
53,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,13.54,371,88,0.493,0
