trial_id,fleet_size_carts,fixed_crowd_humans,success_rate_pct,makespan_s,mean_replan_latency_ms,corridor_mutex_wait_s,v2v_mesh_packets
47,6,10,100.0,51.4,0.596,0.0,43
47,8,10,0.0,65.05,0.765,0.0,290
47,10,10,100.0,27.05,0.573,0.0,58
47,12,10,0.0,65.05,0.564,0.0,50
48,2,10,100.0,16.45,0.537,0.0,1
48,4,10,100.0,42.75,0.525,0.0,86
48,6,10,100.0,23.0,0.469,0.0,30
48,8,10,100.0,44.25,0.684,0.0,42
48,10,10,100.0,19.6,0.686,0.0,143
48,12,10,100.0,48.05,0.6,0.0,58
49,2,10,100.0,32.75,0.759,0.0,7
49,4,10,0.0,65.05,0.635,0.0,184
49,6,10,0.0,65.05,0.834,0.0,39
49,8,10,0.0,65.05,0.72,0.0,300
49,10,10,100.0,22.8,0.525,0.0,69
49,12,10,0.0,65.05,0.606,0.0,32
50,2,10,100.0,27.65,0.538,0.0,6
50,4,10,0.0,65.05,0.808,0.0,86
50,6,10,100.0,31.1,0.707,0.0,17
50,8,10,0.0,65.05,0.563,0.0,59
50,10,10,100.0,48.35,0.728,0.0,51
50,12,10,100.0,37.5,0.67,0.0,132
51,2,10,100.0,28.55,0.493,0.0,5
51,4,10,100.0,25.9,0.802,0.0,35
51,6,10,100.0,23.2,0.594,0.0,24
51,8,10,100.0,28.65,0.517,0.0,57
51,10,10,0.0,65.05,0.691,0.0,51
51,12,10,100.0,48.4,0.685,0.0,71
52,2,10,100.0,30.35,0.839,0.0,3
52,4,10,100.0,31.05,0.615,0.0,16
52,6,10,0.0,65.05,0.638,0.0,229
52,8,10,100.0,26.05,0.633,0.0,86
52,10,10,100.0,32.45,0.723,0.0,59
52,12,10,100.0,20.1,0.519,0.0,51
53,2,10,100.0,19.15,0.637,0.0,6
53,4,10,100.0,22.2,0.545,0.0,14
53,6,10,100.0,43.8,0.517,0.0,115
53,8,10,100.0,29.4,0.841,0.0,65
53,10,10,100.0,64.45,0.537,0.0,122
53,12,10,0.0,65.05,0.542,0.0,508
54,2,10,100.0,20.25,0.674,0.0,7
54,4,10,100.0,26.55,0.636,0.0,17
54,6,10,100.0,33.25,0.509,0.0,35
54,8,10,100.0,29.05,0.703,0.0,56
54,10,10,100.0,38.75,0.678,0.0,68
54,12,10,100.0,45.85,0.671,0.0,226
55,2,10,100.0,25.5,0.699,0.0,4
55,4,10,100.0,34.8,0.723,0.0,20
55,6,10,100.0,17.9,0.514,0.0,12
55,8,10,100.0,25.8,0.637,0.0,51
55,10,10,100.0,19.15,0.585,0.0,36
55,12,10,100.0,25.9,0.471,0.0,99
56,2,10,100.0,21.2,0.482,0.0,5
56,4,10,100.0,41.0,0.718,0.0,15
56,6,10,100.0,63.95,0.695,0.0,182
56,8,10,100.0,37.7,0.692,0.0,54
56,10,10,100.0,49.4,0.66,0.0,63
56,12,10,100.0,28.3,0.662,0.0,153
57,2,10,100.0,27.05,0.577,0.0,2
57,4,10,0.0,65.05,0.691,0.0,131
57,6,10,0.0,65.05,0.685,0.0,149
57,8,10,100.0,52.9,0.799,0.0,208
57,10,10,0.0,65.05,0.547,0.0,76
57,12,10,100.0,45.95,0.646,0.0,49
58,2,10,100.0,17.45,0.711,0.0,2
58,4,10,100.0,30.1,0.521,0.0,10
58,6,10,0.0,65.05,0.721,0.0,75
58,8,10,100.0,26.05,0.481,0.0,40
58,10,10,100.0,24.25,0.6,0.0,124
58,12,10,0.0,65.05,0.659,0.0,388
59,2,10,100.0,18.75,0.61,0.0,3
59,4,10,100.0,23.4,0.583,0.0,24
59,6,10,100.0,30.35,0.598,0.0,29
59,8,10,100.0,53.95,0.81,0.0,141
59,10,10,100.0,43.15,0.729,0.0,115
59,12,10,100.0,42.45,0.792,0.0,244
60,2,10,100.0,16.15,0.707,0.0,3
60,4,10,100.0,38.55,0.619,0.0,15
60,6,10,100.0,34.35,0.586,0.0,61
60,8,10,100.0,26.15,0.556,0.0,34
60,10,10,0.0,65.05,0.67,0.0,195
60,12,10,0.0,65.05,0.631,0.0,80
61,2,10,100.0,33.55,0.585,0.0,2
61,4,10,100.0,21.7,0.605,0.0,29
61,6,10,100.0,35.8,0.741,0.0,52
61,8,10,100.0,33.7,0.636,0.0,65
61,10,10,100.0,32.2,0.615,0.0,66
61,12,10,0.0,65.05,0.798,0.0,209
62,2,10,100.0,40.05,0.662,0.0,6
62,4,10,100.0,36.2,0.673,0.0,13
62,6,10,100.0,39.55,0.624,0.0,57
62,8,10,100.0,43.4,0.658,0.0,177
62,10,10,100.0,27.4,0.576,0.0,51
62,12,10,100.0,48.3,0.632,0.0,136
63,2,10,100.0,30.35,0.623,0.0,5
63,4,10,0.0,65.05,0.616,0.0,21
63,6,10,100.0,27.05,0.545,0.0,33
63,8,10,100.0,31.0,0.433,0.0,66
63,10,10,100.0,57.95,0.754,0.0,75
63,12,10,0.0,65.05,0.608,0.0,148
64,2,10,100.0,22.4,0.633,0.0,2
64,4,10,100.0,17.0,0.598,0.0,11
64,6,10,100.0,25.95,0.685,0.0,72
64,8,10,100.0,36.4,0.62,0.0,63
